bench,network_id,mean,p50,stddev,p95,p95_excl_timeouts,p95_approx,n,timeouts,timeout_rate,outliers_mild,outliers_severe
p2p_libp2p_e2e_inv_to_resp_headers,,309278.86638363096,309701.67045833333,1915.7043675695527,348225,348225,,52191,,0,548,55
p2p_libp2p_e2e_inv_to_resp_headers_gossip,,555210.9034920635,541038.4166666667,45910.94906311726,742926,742926,,62,,0,8,5
p2p_libp2p_e2e_inv_to_resp_payloads,,290132.9812301587,289556.06666666665,7848.882328136874,322253,322253,,62,,0,0,0
p2p_libp2p_e2e_inv_to_resp_payloads_gossip,,513017.73722222226,485740.7,66637.64029503072,743750,743750,,62,,0,6,7
p2p_libp2p_rpc_get_headers,aeb35c79303f00a154080a0feb8393ef10ac2b2ec99e51fa942d6ca96253dd5b,396994.0225396825,380568.7321428571,40736.304788996735,495282,495282,,62,,0,1,0
p2p_libp2p_rpc_get_payloads,aeb35c79303f00a154080a0feb8393ef10ac2b2ec99e51fa942d6ca96253dd5b,359750.4633333333,340188.7916666666,61709.116793902554,509226,509226,,62,,0,3,0
p2p_quic_rpc_warm_get_headers,,195896.25003968255,178204.05,48413.97219588292,303743,303743,,62,,0,1,0
p2p_quic_rpc_warm_get_payloads,,203770.3898015873,186455.375,47555.306014460715,313367,313367,,62,,0,10,2
