bench,network_id,mean,p50,stddev,p95,p95_excl_timeouts,p95_approx,n,timeouts,timeout_rate,outliers_mild,outliers_severe
p2p_libp2p_e2e_inv_to_resp_headers,,312533.5735998234,312460.1026785714,1562.1621770389722,352547,352547,,80991,,0,985,91
p2p_libp2p_e2e_inv_to_resp_headers_gossip,,581395.2799999998,583383,20716.509826366164,746688,746688,,82,,0,0,0
p2p_libp2p_e2e_inv_to_resp_payloads,,290271.3333333334,288240.3333333333,10003.185328332316,326207,326207,,82,,0,1,0
p2p_libp2p_e2e_inv_to_resp_payloads_gossip,,546060.7333333333,538787,29148.25861690795,741126,741126,,82,,0,0,0
p2p_libp2p_rpc_get_headers,,418182.2533333333,415254,29950.43502980908,531848,531848,,82,,0,0,0
p2p_libp2p_rpc_get_payloads,,394240.9333333333,387875,20882.61408755211,563367,563367,,82,,0,0,0
p2p_quic_rpc_warm_get_headers,,221439.13333333327,221335.66666666663,13401.322226086775,353057,353057,,82,,0,0,0
p2p_quic_rpc_warm_get_payloads,,226260.98666666675,224412.66666666663,14551.508464340655,355652,355652,,82,,0,0,0
