bench,network_id,mean,p50,stddev,p95,p95_excl_timeouts,p95_approx,n,timeouts,timeout_rate,outliers_mild,outliers_severe
p2p_libp2p_e2e_inv_to_resp_headers,,310279.33070050913,311059.3026205451,2058.3899910100213,350037,350037,,51916,,0,555,49
p2p_libp2p_e2e_inv_to_resp_headers_gossip,,563654.8626587301,550638.0333333333,60713.194034856075,727771,727771,,62,,0,9,2
p2p_libp2p_e2e_inv_to_resp_payloads,,289779.6678571428,290801.6666666666,8894.951414519537,329655,329655,,62,,0,0,0
p2p_libp2p_e2e_inv_to_resp_payloads_gossip,,510305.31607142865,478312.7678571429,73503.9689610688,735084,735084,,62,,0,4,8
p2p_libp2p_rpc_get_headers,aeb35c79303f00a154080a0feb8393ef10ac2b2ec99e51fa942d6ca96253dd5b,399753.7409126984,381386.7142857143,43926.17345204457,539696,539696,,62,,0,0,0
p2p_libp2p_rpc_get_payloads,aeb35c79303f00a154080a0feb8393ef10ac2b2ec99e51fa942d6ca96253dd5b,376430.1442063492,348923.45714285714,80660.497226303,546032,546032,,62,,0,9,1
p2p_quic_rpc_warm_get_headers,,197887.9229365079,184051.4111111111,38836.31997273644,333242,333242,,62,,0,10,3
p2p_quic_rpc_warm_get_payloads,,202726.36583333337,190769.63333333333,38502.473002154584,341087,341087,,62,,0,13,0
