bench,network_id,mean,p50,stddev,p95,p95_excl_timeouts,p95_approx,n,timeouts,timeout_rate,outliers_mild,outliers_severe
p2p_libp2p_e2e_inv_to_resp_headers,,306933.00274135347,306404.6131033853,1992.2514432738808,346613,346613,,67201,,0,717,118
p2p_libp2p_e2e_inv_to_resp_headers_gossip,,561257.55,567366.8333333333,39075.806252812115,714941,714941,,67,,0,1,0
p2p_libp2p_e2e_inv_to_resp_payloads,,284719.3833333334,285222.1666666666,7018.000844340896,320617,320617,,67,,0,1,0
p2p_libp2p_e2e_inv_to_resp_payloads_gossip,,530987.2333333333,537437,27822.65070489839,721434,721434,,67,,0,0,0
p2p_libp2p_rpc_get_headers,,414165.43333333335,418847.6666666666,20787.958116004284,520197,520197,,67,,0,0,0
p2p_libp2p_rpc_get_payloads,,389589.85,388930.6666666666,18516.622657731903,540777,540777,,67,,0,0,0
p2p_quic_rpc_warm_get_headers,,208331.7333333333,206043.5,24925.3889408966,345962,345962,,67,,0,0,0
p2p_quic_rpc_warm_get_payloads,,216401.95,214851.33333333337,10067.65384974593,334814,334814,,67,,0,0,0
