bench,network_id,mean,p50,stddev,p95,p95_excl_timeouts,p95_approx,n,timeouts,timeout_rate,outliers_mild,outliers_severe
p2p_libp2p_e2e_inv_to_resp_headers,,313782.7611689815,313855.93994107743,852.1746559467114,355769,355769,,51751,,0,810,111
p2p_libp2p_e2e_inv_to_resp_headers_gossip,,560827.7334126984,554267.2444444444,35122.85007254797,722195,722195,,62,,0,9,2
p2p_libp2p_e2e_inv_to_resp_payloads,,302114.3528571428,298118.65,17389.70773499887,340082,340082,,62,,0,2,0
p2p_libp2p_e2e_inv_to_resp_payloads_gossip,,521592.49674603174,490636.8142857143,77367.7161431137,717575,717575,,62,,0,9,0
p2p_libp2p_rpc_get_headers,,410881.7355952381,402226.7916666666,55971.48009112437,530328,530328,,62,,0,3,0
p2p_libp2p_rpc_get_payloads,,373502.0157539682,332688.3333333334,81656.46981545916,545116,545116,,62,,0,7,0
p2p_quic_rpc_warm_get_headers,,198899.5415873016,185751.75555555557,38774.2174618805,312029,312029,,62,,0,3,0
p2p_quic_rpc_warm_get_payloads,,213022.16305555555,198324.23333333337,45490.06016636846,352663,352663,,62,,0,9,4
