bench,network_id,mean,p50,stddev,p95,p95_excl_timeouts,p95_approx,n,timeouts,timeout_rate,outliers_mild,outliers_severe,tp_ops
p2p_batch_headers_inv_rr,,630476.8898358586,615354.375,62036.50831392064,1074191,1074191,,171,,0,7,6,
p2p_dedupe_ttl_payload_inv,,1201260068.7083333,1201176744.75,332585.2334499082,1201911353,1201911353,,27,,0,0,0,
p2p_header_announce_gossip,,21213137.40012927,21226374.5875,156165.72510383694,21953431,21953431,,171,,0,0,0,
p2p_header_announce_gossip_hb_1s,,31221367.964934062,31190221.416666664,162101.26664795598,31957809,31957809,,265,,0,0,0,
p2p_header_announce_gossip_relaxed,,21305174.08414502,21258764.333333336,220404.67615461224,21894872,21894872,,171,,0,0,0,
p2p_libp2p_e2e_inv_to_resp_headers,,213629.26818557148,212537.0511082138,4016.2580135548446,245821,245821,,100753,,0,1331,206,
p2p_libp2p_e2e_inv_to_resp_headers_gossip,,493847.7826984127,487457.3482142857,36922.06360050627,693334,693334,,125,,0,11,1,
p2p_libp2p_e2e_inv_to_resp_payloads,,261439.18609126983,255216.01587301583,29144.192064749594,320369,320369,,125,,0,1,0,
p2p_libp2p_e2e_inv_to_resp_payloads_gossip,,470691.0511904762,458078.7916666667,51105.37577968909,709638,709638,,125,,0,14,3,
p2p_libp2p_rpc_get_headers,,326211.3235714286,305316.5208333334,52429.6511708799,503893,503893,,125,,0,13,0,
p2p_libp2p_rpc_get_payloads,,296189.5862301587,289429.4513888889,40799.20341940056,484033,484033,,125,,0,13,3,
p2p_quic_rpc_warm_get_headers,,155085.6338690476,146902.65476190476,32082.65212884589,321550,321550,,125,,0,2,13,
p2p_quic_rpc_warm_get_payloads,,155730.83871031745,143741.04861111112,28271.6476579066,326181,326181,,125,,0,2,14,
p2p_rpc_cold_start_get_headers,,1788909.2728111718,1785762.9857142856,28463.865213556408,2248045,2248045,,16477,,0,701,165,
p2p_rpc_notfound_headers,,288673.0714090308,277407.6357142857,41230.50018334049,498422,498422,,171,,0,4,14,
p2p_rpc_parallel_get_payloads_8,,638261.1457867365,612649.6041666667,74286.73875418659,912044,912044,,171,,0,14,2,
p2p_rpc_payload_size_sweep,,1348193.3839691558,1331624.90625,57508.86858236459,3777118,3777118,,687,,0,87,2,
p2p_rpc_retry_get_headers,,2552864447,2552895528,580967.7559284555,,,2553820138.9585023,,13,,,,
p2p_rpc_warm_start_get_headers,,263670.3650917658,256928.79575892855,24567.071156972874,348534,348534,,687,,0,21,21,
p2p_throughput_headers,,20877204053.5,20808331915.5,217797357.23129863,,,21235480706.145485,,18,,,,11317.659
p2p_two_hop_headers_gossip,,801137637.0416666,801106284.75,280208.5395684191,,,801598580.0892566,,27,,,,
